lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
91,aglerjo01,,,1887,6,12,USA,OH,Coshocton,1971,4,26,USA,OH,Massillon,Joe,Agler,,Joseph Abram,,165,71,L,L,10/1/1912,9/30/1915,,aglerjo01,aglerjo01,aglej101,aglerjo01,aglerjo01
92,agnewsa01,,,1887,4,12,USA,MO,Farmington,1951,7,19,USA,CA,Sonoma,Sam,Agnew,,Samuel Lester,Slam,185,71,R,R,4/10/1913,9/28/1919,,agnewsa01,agnewsa01,agnes101,agnewsa01,agnewsa01
93,agostju01,,,1958,2,23,P.R.,,Rio Piedras,,,,,,,Juan,Agosto,,Juan Roberto (Gonzalez),,190,74,L,L,9/7/1981,6/19/1993,,agostju01,agostju01,agosj001,agostju01,agostju01
94,aguaylu01,,,1959,3,13,P.R.,,Vega Baja,,,,,,,Luis,Aguayo,,Luis (Muriel),,173,69,R,R,4/19/1980,9/30/1989,,aguaylu01,aguaylu01,agual001,aguaylu01,aguaylu01
95,aguilri01,,aguilri01h,1961,12,31,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,,Richard Warren,,195,76,R,R,6/12/1985,9/6/2000,Brigham Young,aguilri01,aguilri01,aguir001,aguilri01,aguilri01
96,aguirha01,,,1931,1,31,USA,CA,Azusa,1994,9,5,USA,MI,Bloomfield Hills,Hank,Aguirre,,Henry John,,205,76,R,L,9/10/1955,6/24/1970,,aguirha01,aguirha01,aguih101,aguirha01,aguirha01
97,ahearch01,,,,,,,,,,,,,,,Charlie,Ahearn,,Charles,,,,,,6/19/1880,6/19/1880,,ahearch01,ahearch01,aheac101,ahearch01,ahearch01
98,ahearpa01,,,1969,12,10,USA,CA,San Francisco,,,,,,,Pat,Ahearne,,Patrick Howard,,195,75,R,R,6/14/1995,6/30/1995,Pepperdine,ahearpa01,ahearpa01,aheap001,ahearpa01,ahearpa01
99,aikenwi01,,,1954,10,14,USA,SC,Seneca,,,,,,,Willie,Aikens,,Willie Mays,,220,75,L,R,5/17/1977,4/27/1985,South Carolina,aikenwi01,aikenwi01,aikew001,aikenwi01,aikenwi01
100,aingeda01,,,1959,3,17,USA,OR,Eugene,,,,,,,Danny,Ainge,,Daniel Ray,,175,76,R,R,5/21/1979,9/22/1981,Brigham Young,aingeda01,aingeda01,aingd101,aingeda01,aingeda01
101,ainsmed01,,,1890,2,4,Russia,,,1981,9,6,USA,FL,Ft.Lauderdale,Eddie,Ainsmith,born Edward Anshmedt,Edward Wilbur,Dorf,180,71,R,R,8/9/1910,7/21/1924,,ainsmed01,ainsmed01,ainse101,ainsmed01,ainsmed01
102,ainswku01,,,1978,9,9,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,,,,192,75,R,R,9/5/2001,5/14/2004,Louisiana State,ainswku01,ainswku01,ainsk001,ainswku01,ainswku01
103,aitchra01,,,1887,12,5,USA,SD,Tyndall,1958,9,26,USA,KS,Columbus,Raleigh,Aitchison,,Raleigh Leonidas,,175,71,R,L,4/19/1911,6/20/1915,,aitchra01,aitchra01,aitcr101,aitchra01,aitchra01
104,aitonge01,,,1890,12,29,USA,KS,Kingman,1976,8,16,USA,CA,North Hollywood,George,Aiton,,George Wilson,,175,71,B,R,6/29/1912,7/28/1912,,aitonge01,aitonge01,aitog101,aitonge01,aitonge01
105,akejo01,,,1861,8,29,USA,PA,Altoona,1887,5,11,USA,WI,LaCrosse,John,Ake,,John Leckie,,180,73,R,R,5/12/1884,7/14/1884,,akejo01,akejo01,ake-j101,akejo01,akejo01
106,akerja01,,akerja01h,1940,7,13,USA,CA,Tulare,,,,,,,Jack,Aker,,Jackie Delane,,190,74,R,R,5/3/1964,9/27/1974,,akerja01,akerja01,akerj102,akerja01,akerja01
107,akerfda01,,,1962,6,12,USA,CO,Denver,,,,,,,Darrel,Akerfelds,,Darrel Wayne,,210,74,R,R,8/1/1986,7/2/1991,Arkansas,akerfda01,akerfda01,akerd001,akerfda01,akerfda01
108,akersbi01,,,1904,12,25,USA,TN,Chattanooga,1962,4,13,USA,TN,Chattanooga,Bill,Akers,,William G.,Bump,178,71,R,R,9/8/1929,7/27/1932,,akersbi01,akersbi01,akerb101,akersbi01,akersbi01
109,akersje01,,,1887,11,1,USA,IN,Shelbyville,1979,5,15,USA,FL,Bay Pines,Jerry,Akers,,Albert Earl,,175,71,R,R,5/4/1912,5/25/1912,,akersje01,akersje01,akerj101,akersje01,akersje01
110,albagi01,,,1960,1,18,D.R.,,Santiago,,,,,,,Gibson,Alba,,Gibson Alberto (Rosado),,160,74,L,L,5/3/1988,5/8/1988,,albagi01,albagi01,albag001,albagi01,albagi01
111,albanjo01,,,1933,6,26,USA,NY,New York,2000,6,17,USA,NY,New York,Joe,Albanese,,Joseph Peter,,215,75,R,R,7/18/1958,9/9/1958,,albanjo01,albanjo01,albaj101,albanjo01,albanjo01
112,alberjo01,,,1969,6,29,P.R.,,San Juan,,,,,,,Jose,Alberro,,Jose Edgardo,,190,74,R,R,4/27/1995,8/5/1997,,alberjo01,alberjo01,albej001,alberjo01,alberjo01
113,alberbu01,,,1950,5,4,USA,PA,Williamsport,,,,,,,Butch,Alberts,,Francis Burt,,205,74,R,R,9/7/1978,9/28/1978,Cincinnati,alberbu01,alberbu01,albeb101,alberbu01,alberbu01
114,albercy01,,,1882,1,14,USA,MI,Grand Rapids,1917,8,27,USA,IN,Fort Wayne,Cy,Alberts,,Frederick Joseph,,230,72,R,R,9/17/1910,10/12/1910,,albercy01,albercy01,albec101,albercy01,albercy01
115,albergu01,,,1861,,,USA,PA,Reading,1912,5,7,USA,CO,Idaho Springs,Gus,Alberts,,Augustus Peter,,180,66,R,R,5/1/1884,9/22/1891,,albergu01,albergu01,albeg101,albergu01,albergu01
116,albosed01,,,1918,10,27,USA,MI,Saginaw,2003,1,7,USA,MI,Saginaw,Ed,Albosta,,Edward John,Rube,175,73,R,R,9/3/1941,9/24/1946,,albosed01,albosed01,alboe101,albosed01,albosed01
117,albreed01,,,1929,2,28,USA,MO,Affton,1979,12,29,USA,IL,Cahokia,Ed,Albrecht,,Edward Arthur,,165,70,R,R,10/2/1949,4/26/1950,,albreed01,albreed01,albre101,albreed01,albreed01
118,albrija01,,,1921,6,30,USA,FL,St. Petersburg,1991,7,22,USA,CA,San Diego,Jack,Albright,,Harold John,,175,69,R,R,5/19/1947,7/27/1947,,albrija01,albrija01,albrj101,albrija01,albrija01
119,alburvi01,,,1947,5,12,USA,FL,Key West,,,,,,,Vic,Albury,,Victor,,190,72,L,L,8/7/1973,9/26/1976,,alburvi01,alburvi01,albuv101,alburvi01,alburvi01
